Datetime,Open,High,Low,Close,Adj Close,Volume
2023-11-02 09:15:00,921.15,923.25,920.2,921.25,921.25,260161
2023-11-02 09:30:00,921.45,924.6,920.5,923.65,923.65,381597
2023-11-02 09:45:00,923.6,923.7,921.1,922.4,922.4,310340
2023-11-02 10:00:00,922.4,923.1,920.3,920.85,920.85,454673
2023-11-02 10:15:00,920.85,922.1,920.25,921.65,921.65,207352
2023-11-02 10:30:00,921.5,922.9,921.0,922.65,922.65,210720
2023-11-02 10:45:00,922.75,923.55,922.05,922.8,922.8,201589
2023-11-02 11:00:00,922.85,923.75,922.2,923.25,923.25,254801
2023-11-02 11:15:00,923.25,923.45,921.45,921.95,921.95,251111
2023-11-02 11:30:00,921.95,922.05,916.15,916.15,916.15,490763
2023-11-02 11:45:00,916.1,917.0,913.65,914.5,914.5,500387
2023-11-02 12:00:00,914.25,915.65,913.3,914.15,914.15,710084
2023-11-02 12:15:00,914.3,915.9,913.65,915.2,915.2,624868
2023-11-02 12:30:00,915.2,917.8,914.7,916.25,916.25,436286
2023-11-02 12:45:00,916.25,917.0,915.85,916.55,916.55,140833
2023-11-02 13:00:00,916.25,917.7,915.9,917.15,917.15,253503
2023-11-02 13:15:00,917.35,917.4,915.15,915.3,915.3,259103
2023-11-02 13:30:00,915.45,916.45,915.0,915.6,915.6,243645
2023-11-02 13:45:00,915.55,917.8,915.2,917.4,917.4,184662
2023-11-02 14:00:00,917.4,918.0,917.0,917.65,917.65,182890
2023-11-02 14:15:00,917.65,919.5,917.0,918.15,918.15,593071
2023-11-02 14:30:00,917.8,919.3,917.05,918.0,918.0,329811
2023-11-02 14:45:00,918.0,920.15,917.0,919.75,919.75,561239
2023-11-02 15:00:00,920.45,922.25,918.15,918.7,918.7,919044
2023-11-02 15:15:00,918.85,920.4,918.5,919.95,919.95,486047
2023-11-03 09:15:00,928.55,931.55,927.5,931.4,931.4,491801
2023-11-03 09:30:00,931.35,933.65,931.1,933.2,933.2,465972
2023-11-03 09:45:00,933.2,933.2,931.0,932.15,932.15,273185
2023-11-03 10:00:00,932.15,932.8,931.45,931.75,931.75,416932
2023-11-03 10:15:00,931.85,931.85,930.0,930.2,930.2,333737
2023-11-03 10:30:00,930.1,930.5,929.5,930.3,930.3,170584
2023-11-03 10:45:00,930.3,931.95,929.75,931.25,931.25,169333
2023-11-03 11:00:00,931.25,932.0,930.6,931.45,931.45,222188
2023-11-03 11:15:00,931.4,932.4,930.55,930.85,930.85,249402
2023-11-03 11:30:00,930.9,931.8,930.05,930.5,930.5,170910
2023-11-03 11:45:00,930.6,930.65,928.7,929.25,929.25,168164
2023-11-03 12:00:00,929.25,930.3,929.0,930.1,930.1,156430
2023-11-03 12:15:00,929.9,930.5,929.0,929.85,929.85,164681
2023-11-03 12:30:00,930.1,930.15,928.95,929.3,929.3,189963
2023-11-03 12:45:00,929.05,930.05,928.7,930.0,930.0,189795
2023-11-03 13:00:00,930.0,931.2,929.75,930.6,930.6,152751
2023-11-03 13:15:00,930.3,932.35,930.1,931.75,931.75,207375
2023-11-03 13:30:00,931.75,932.65,931.35,932.2,932.2,164843
2023-11-03 13:45:00,932.0,932.5,931.55,932.05,932.05,182619
2023-11-03 14:00:00,932.3,932.4,931.7,932.35,932.35,117646
2023-11-03 14:15:00,932.05,934.45,932.0,933.95,933.95,241336
2023-11-03 14:30:00,934.1,934.25,932.05,932.9,932.9,304631
2023-11-03 14:45:00,932.9,934.15,931.5,934.1,934.1,348614
2023-11-03 15:00:00,934.05,934.5,933.05,934.1,934.1,558820
2023-11-03 15:15:00,934.15,934.3,932.4,933.8,933.8,647246
2023-11-06 09:15:00,939.95,943.2,937.45,942.65,942.65,205538
2023-11-06 09:30:00,942.5,943.0,941.5,941.5,941.5,165437
2023-11-06 09:45:00,941.5,943.2,941.5,942.7,942.7,1090031
2023-11-06 10:00:00,942.6,943.0,942.0,942.25,942.25,174077
2023-11-06 10:15:00,942.25,942.55,941.3,942.5,942.5,128319
2023-11-06 10:30:00,942.3,942.75,941.1,941.9,941.9,204670
2023-11-06 10:45:00,941.75,942.0,939.25,939.95,939.95,737415
2023-11-06 11:00:00,939.55,940.55,938.8,940.35,940.35,351510
2023-11-06 11:15:00,940.35,941.5,939.75,941.2,941.2,261263
2023-11-06 11:30:00,941.2,941.85,940.3,941.85,941.85,400276
2023-11-06 11:45:00,941.85,943.65,941.1,941.5,941.5,887079
2023-11-06 12:00:00,941.5,943.25,940.55,942.1,942.1,208061
2023-11-06 12:15:00,942.1,943.2,940.7,943.0,943.0,363056
2023-11-06 12:30:00,942.85,943.8,942.65,943.15,943.15,180419
2023-11-06 12:45:00,943.15,943.5,942.1,942.6,942.6,170838
2023-11-06 13:00:00,942.55,943.45,942.2,943.15,943.15,174923
2023-11-06 13:15:00,943.15,943.65,942.25,942.45,942.45,549810
2023-11-06 13:30:00,942.35,942.95,941.45,942.05,942.05,181140
2023-11-06 13:45:00,941.8,942.35,941.5,941.55,941.55,240575
2023-11-06 14:00:00,941.55,942.85,940.85,942.55,942.55,334256
2023-11-06 14:15:00,942.6,944.0,941.8,941.85,941.85,362852
2023-11-06 14:30:00,941.85,943.55,941.3,941.85,941.85,479782
2023-11-06 14:45:00,941.65,942.3,939.9,942.2,942.2,457559
2023-11-06 15:00:00,942.15,946.0,942.15,945.55,945.55,875981
2023-11-06 15:15:00,945.65,947.7,945.55,947.5,947.5,826511
2023-11-07 09:15:00,942.05,942.15,938.25,938.45,938.45,243896
2023-11-07 09:30:00,938.35,938.7,936.5,936.8,936.8,646853
2023-11-07 09:45:00,936.9,937.1,935.25,935.4,935.4,495321
2023-11-07 10:00:00,935.4,936.5,934.5,935.0,935.0,875906
2023-11-07 10:15:00,935.0,937.1,934.8,936.55,936.55,480715
2023-11-07 10:30:00,936.55,937.45,936.1,937.0,937.0,335185
2023-11-07 10:45:00,936.9,937.15,936.0,936.0,936.0,415764
2023-11-07 11:00:00,936.4,937.6,935.8,936.0,936.0,360218
2023-11-07 11:15:00,936.2,936.65,935.8,936.6,936.6,270828
2023-11-07 11:30:00,936.65,936.7,933.55,933.65,933.65,891849
2023-11-07 11:45:00,933.35,933.35,930.95,931.55,931.55,706947
2023-11-07 12:00:00,932.0,932.8,930.5,932.45,932.45,614044
2023-11-07 12:15:00,932.45,933.0,931.65,932.15,932.15,374845
2023-11-07 12:30:00,932.15,933.3,931.9,932.05,932.05,474189
2023-11-07 12:45:00,932.05,933.75,931.75,932.75,932.75,1043956
2023-11-07 13:00:00,932.6,934.4,932.45,934.35,934.35,301207
2023-11-07 13:15:00,934.25,934.5,933.05,933.85,933.85,194563
2023-11-07 13:30:00,933.55,936.9,933.4,936.6,936.6,657891
2023-11-07 13:45:00,936.65,939.85,935.15,938.55,938.55,1189511
2023-11-07 14:00:00,938.4,941.45,938.25,940.85,940.85,878048
2023-11-07 14:15:00,940.9,942.65,940.5,941.85,941.85,545249
2023-11-07 14:30:00,941.8,943.2,941.1,942.3,942.3,510709
2023-11-07 14:45:00,942.35,945.85,942.35,945.4,945.4,497244
2023-11-07 15:00:00,945.4,947.6,945.0,947.55,947.55,974457
2023-11-07 15:15:00,947.35,950.4,947.1,948.1,948.1,1467975
2023-11-08 09:15:00,944.55,945.75,940.6,942.95,942.95,289527
2023-11-08 09:30:00,942.95,943.55,940.6,941.05,941.05,324492
2023-11-08 09:45:00,941.05,943.5,940.0,942.45,942.45,317528
2023-11-08 10:00:00,942.5,942.7,938.6,939.1,939.1,451087
2023-11-08 10:15:00,939.1,940.5,938.1,938.5,938.5,660574
2023-11-08 10:30:00,938.5,939.9,937.6,937.6,937.6,1015945
2023-11-08 10:45:00,937.6,938.05,937.45,937.55,937.55,380457
2023-11-08 11:00:00,937.6,937.85,935.45,936.2,936.2,915349
2023-11-08 11:15:00,936.1,937.75,935.65,937.4,937.4,480899
2023-11-08 11:30:00,937.4,937.9,935.9,937.65,937.65,748159
2023-11-08 11:45:00,937.6,937.85,936.3,936.75,936.75,238979
2023-11-08 12:00:00,936.75,937.55,936.4,937.2,937.2,247970
2023-11-08 12:15:00,937.2,937.35,936.15,936.7,936.7,360388
2023-11-08 12:30:00,936.7,937.0,935.55,936.0,936.0,569435
2023-11-08 12:45:00,936.1,936.7,934.85,936.3,936.3,570882
2023-11-08 13:00:00,936.3,936.45,935.45,936.2,936.2,297387
2023-11-08 13:15:00,936.15,937.5,936.0,936.95,936.95,779969
2023-11-08 13:30:00,936.95,937.35,935.55,935.85,935.85,465694
2023-11-08 13:45:00,935.85,937.25,935.75,937.2,937.2,376277
2023-11-08 14:00:00,937.3,937.9,935.35,935.65,935.65,816223
2023-11-08 14:15:00,935.6,936.4,934.85,935.6,935.6,682491
2023-11-08 14:30:00,935.2,936.4,934.1,935.95,935.95,1279256
2023-11-08 14:45:00,935.75,936.1,934.25,935.8,935.8,1066815
2023-11-08 15:00:00,935.75,936.85,935.2,936.15,936.15,2162945
2023-11-08 15:15:00,936.15,936.45,934.5,935.8,935.8,1694343
2023-11-09 09:15:00,934.0,940.75,933.0,940.5,940.5,283741
2023-11-09 09:30:00,940.55,940.75,938.1,938.45,938.45,183596
